"Season","Name","Team","wFB","FA-Z (pi)","vFA (pi)","playerid"
"2017","R.A. Dickey","ATL","9.9","6.6","83.8","1245"
"2015","Ian Kennedy","SDP","-3.1","9.0","92.2","6986"
"2019","Noah Syndergaard","NYM","1.6","7.6","97.9","11762"
"2018","Rick Porcello","BOS","0.6","8.1","91.4","2717"
"2019","Mike Leake","- - -","-19.4","3.8","88.8","10130"
"2018","Luis Castillo","CIN","-9.6","6.4","95.9","15689"
"2016","Tom Koehler","MIA","-24.3","8.4","92.6","6570"
"2020","Kyle Freeland","COL","-3.8","7.2","92.3","16256"
"2017","Jon Lester","CHC","-9.9","7.8","91.9","4930"
"2019","Robbie Ray","ARI","7.8","9.4","92.5","11486"
"2015","Andrew Cashner","SDP","-7.6","8.3","96.0","8782"
"2016","Collin McHugh","HOU","-9.5","7.9","91.0","7531"
"2018","Tanner Roark","WSN","-2.5","8.6","91.6","8753"
"2019","Tanner Roark","- - -","-0.9","8.9","92.1","8753"
"2018","Mike Leake","SEA","-5.1","4.8","89.3","10130"
"2021","Hyun-Jin Ryu","TOR","0.1","6.5","89.8","14444"
"2016","Marcus Stroman","TOR","-1.7","7.6","93.7","13431"
"2018","Jakob Junis","KCR","-10.8","6.5","91.4","13619"
"2018","Matthew Boyd","DET","-3.1","7.7","90.7","15440"
"2017","German Marquez","COL","-9.0","7.7","95.1","15038"
"2016","Martin Perez","TEX","-0.3","8.6","93.6","6902"
"2016","Josh Tomlin","CLE","1.4","7.2","88.4","9388"
"2021","German Marquez","COL","5.2","6.2","95.1","15038"
"2016","Ricky Nolasco","- - -","-3.8","7.8","91.2","3830"
"2019","Merrill Kelly","ARI","4.1","7.8","92.1","11156"
"2017","Jeff Samardzija","SFG","2.2","7.1","94.5","3254"
"2019","Joe Musgrove","PIT","-12.4","6.2","92.7","12970"
"2019","Masahiro Tanaka","NYY","-12.0","8.1","91.5","15764"
"2016","Yordano Ventura","KCR","-16.2","7.7","96.8","11855"
"2020","Andrew Heaney","LAA","1.8","","","15423"
"2016","R.A. Dickey","TOR","-0.7","6.2","83.0","1245"
"2019","Jon Lester","CHC","-12.2","7.9","90.7","4930"
"2015","Wade Miley","BOS","-9.1","8.6","91.6","8779"
"2020","Alec Mills","CHC","-5.5","7.0","90.0","13834"
"2019","Trevor Bauer","- - -","-3.1","8.9","94.6","12703"
"2016","Mike Fiers","HOU","-17.0","10.3","90.3","7754"
"2018","Jake Odorizzi","MIN","8.7","9.1","91.2","6397"
"2015","Jeff Locke","PIT","-8.6","8.5","92.1","2929"
"2017","Julio Teheran","ATL","0.7","6.9","91.8","6797"
"2020","Martin Perez","BOS","-0.6","7.6","92.4","6902"
