"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jose Altuve","HOU","678","9.7%","13.4%","0.73",".278",".350",".489",".839",".211","3.7",".280","3.0","0.3","-0.8","106","23.8",".357","130","5417"
"Kris Bryant","- - -","586","10.6%","23.0%","0.46",".265",".353",".481",".835",".216","4.8",".313","3.5","1.2","0.7","91","20.2",".356","123","15429"
"Jose Abreu","CHW","659","9.3%","21.7%","0.43",".261",".351",".481",".831",".219","2.8",".293","-0.7","-3.4","-0.4","101","21.5",".354","126","15676"
"Bo Bichette","TOR","690","5.8%","19.9%","0.29",".298",".343",".484",".828",".186","6.0",".339","2.4","0.5","4.0","106","22.5",".354","122","19612"
"Ty France","SEA","650","7.1%","16.3%","0.43",".291",".368",".445",".813",".154","1.9",".327","-1.4","-0.7","-0.6","99","20.8",".353","129","17982"
"Josh Donaldson","MIN","543","13.6%","21.0%","0.65",".247",".352",".475",".827",".228","1.3",".268","-0.6","-3.2","-0.5","83","17.2",".353","124","5038"
"Josh Bell","WSN","568","11.4%","17.8%","0.64",".261",".347",".476",".823",".215","1.8",".276","-3.3","-2.2","-0.5","86","17.6",".352","118","13145"
"Manny Machado","SDP","640","9.8%","15.9%","0.62",".278",".347",".489",".836",".211","4.7",".290","-3.1","0.4","0.6","96","18.7",".350","122","11493"
"Randy Arozarena","TBR","604","9.3%","28.1%","0.33",".274",".356",".459",".815",".185","5.9",".363","1.7","0.5","-0.7","91","17.6",".350","128","19290"
"Willy Adames","- - -","555","10.3%","28.1%","0.37",".262",".337",".481",".818",".219","3.3",".331","0.9","0.4","-1.1","83","16.0",".349","119","15986"
