"Season","Name","Team","wFB","vFA (sc)","FA-Z (sc)","playerid"
"2016","Chris Tillman","BAL","2.8","91.7","10.2","5279"
"2018","Cole Hamels","- - -","-10.2","92.3","9.1","4972"
"2015","Gio Gonzalez","WSN","1.5","92.1","8.8","7448"
"2015","Mark Buehrle","TOR","-1.4","83.9","6.8","225"
"2016","Jeff Samardzija","SFG","-4.6","94.1","6.7","3254"
"2019","Eduardo Rodriguez","BOS","10.7","93.0","7.9","13164"
"2019","Julio Teheran","ATL","21.1","89.7","6.9","6797"
"2017","Jose Urena","MIA","3.0","95.8","8.9","11589"
"2017","Michael Fulmer","DET","15.6","95.7","9.7","13218"
"2016","Jason Hammel","CHC","0.3","92.0","9.2","4538"
"2018","Jose Berrios","MIN","14.4","93.4","8.8","14168"
"2015","Kyle Gibson","MIN","-10.4","92.0","9.4","10123"
"2015","Alex Wood","- - -","2.1","","","13781"
"2019","Anibal Sanchez","WSN","0.5","90.2","9.9","3284"
"2017","Yu Darvish","- - -","-1.2","94.3","10.0","13074"
"2019","Aaron Nola","PHI","-7.6","93.1","7.5","16149"
"2019","Sandy Alcantara","MIA","10.1","95.6","8.6","18684"
"2019","Brett Anderson","OAK","-1.2","89.4","6.9","8223"
"2019","Anthony DeSclafani","CIN","4.7","94.7","9.3","13050"
"2015","Collin McHugh","HOU","-2.9","90.4","9.4","7531"
"2017","Jhoulys Chacin","SDP","-6.9","91.4","9.2","2608"
"2018","Sean Newcomb","ATL","14.2","93.0","9.7","16943"
"2019","Mike Fiers","OAK","2.1","90.4","10.8","7754"
"2019","Madison Bumgarner","SFG","3.7","91.4","9.1","5524"
"2017","Zach Davies","MIL","-1.4","","","13183"
"2015","R.A. Dickey","TOR","-3.6","81.7","5.5","1245"
"2016","CC Sabathia","NYY","-2.4","88.4","5.4","404"
"2021","Dylan Cease","CHW","-2.0","96.7","11.1","18525"
"2018","Reynaldo Lopez","CHW","0.1","95.5","8.6","16400"
"2015","James Shields","SDP","-13.2","91.1","9.6","7059"
"2021","Sean Manaea","OAK","-1.4","","","15873"
"2017","Mike Leake","- - -","1.6","90.6","5.6","10130"
"2018","Kevin Gausman","- - -","-8.7","93.6","9.1","14107"
"2018","Julio Teheran","ATL","8.9","89.9","7.7","6797"
"2015","Kyle Hendricks","CHC","3.5","90.3","8.4","12049"
"2015","Chris Heston","SFG","7.1","89.6","7.1","10302"
"2018","Jake Arrieta","PHI","2.5","92.4","8.8","4153"
"2019","Zack Wheeler","NYM","8.3","96.8","9.3","10310"
"2016","Zach Davies","MIL","-8.4","","","13183"
"2016","Brandon Finnegan","CIN","-11.3","91.7","9.8","16208"
"2019","Yu Darvish","CHC","-13.7","94.1","9.3","13074"
"2019","Wade Miley","HOU","0.1","90.8","10.0","8779"
"2021","Luis Castillo","CIN","-11.8","97.1","7.3","15689"
"2018","Jose Urena","MIA","11.8","95.6","9.3","11589"
"2019","Marco Gonzales","SEA","3.8","88.1","11.3","15467"
"2016","David Price","BOS","-1.9","92.9","9.8","3184"
"2018","Marco Gonzales","SEA","0.9","90.1","9.8","15467"
"2020","Jose Berrios","MIN","-3.9","94.5","8.9","14168"
"2019","Max Fried","ATL","-0.2","93.8","7.0","13743"
"2016","Chris Archer","TBR","-15.3","94.3","10.5","6345"
"2018","Jose Quintana","CHC","6.4","91.5","9.3","11423"
"2020","Zack Greinke","HOU","-3.0","87.0","10.1","1943"
"2017","Patrick Corbin","ARI","-19.3","92.3","8.8","9323"
"2016","Carlos Rodon","CHW","-17.6","93.5","8.8","16137"
"2015","Julio Teheran","ATL","1.7","91.5","7.9","6797"
"2015","Anthony DeSclafani","CIN","2.8","92.7","9.0","13050"
"2020","Brady Singer","KCR","7.2","93.0","7.0","25377"
"2017","Chris Archer","TBR","-3.7","95.5","10.6","6345"
"2015","Yordano Ventura","KCR","-0.9","96.5","9.9","11855"
"2015","Tom Koehler","MIA","-12.0","92.0","9.5","6570"
"2016","Matt Moore","- - -","4.6","92.8","9.9","1890"
"2015","Ubaldo Jimenez","BAL","-3.1","90.7","9.9","3374"
"2015","Jimmy Nelson","MIL","-8.3","93.4","9.4","10547"
"2016","Kendall Graveman","OAK","-0.6","91.1","6.3","15514"
"2016","Hisashi Iwakuma","SEA","-2.1","88.3","7.6","13048"
"2015","Jon Niese","NYM","-0.5","89.0","6.7","4424"
"2017","Michael Wacha","STL","5.5","95.1","10.9","14078"
"2019","Zach Eflin","PHI","-1.8","93.8","7.7","13774"
"2017","Ivan Nova","PIT","-7.0","93.1","8.7","1994"
"2018","Andrew Heaney","LAA","-2.7","","","15423"
"2017","Jose Quintana","- - -","6.8","92.2","10.5","11423"
"2019","Miles Mikolas","STL","4.4","93.7","8.8","9803"
"2017","Jason Vargas","KCR","-21.9","85.7","9.3","8044"
"2021","Zack Greinke","HOU","1.3","88.9","9.7","1943"
"2015","Bartolo Colon","NYM","3.7","90.3","8.9","375"
"2016","Ivan Nova","- - -","-1.3","92.7","7.6","1994"
"2019","Joey Lucchesi","SDP","11.6","","","19320"
"2017","Trevor Bauer","CLE","-5.4","94.1","10.4","12703"
"2019","Brad Keller","KCR","1.1","93.7","8.2","15734"
"2018","Ivan Nova","PIT","-7.9","93.0","7.6","1994"
"2019","Adam Wainwright","STL","-7.2","89.6","8.0","2233"
"2018","Gio Gonzalez","- - -","7.7","90.1","8.7","7448"
"2021","Yu Darvish","SDP","0.8","94.5","11.2","13074"
"2021","Cole Irvin","OAK","-4.3","90.8","9.8","19244"
"2017","Dylan Bundy","BAL","-7.4","92.2","11.8","12917"
"2017","Gerrit Cole","PIT","3.2","95.9","9.3","13125"
"2017","Dan Straily","MIA","3.1","90.5","12.0","9460"
"2015","Mike Pelfrey","MIN","-3.3","92.9","7.8","5203"
"2016","Trevor Bauer","CLE","-4.6","93.3","9.9","12703"
"2017","R.A. Dickey","ATL","9.9","83.6","6.2","1245"
"2015","Ian Kennedy","SDP","-3.1","91.2","9.9","6986"
"2019","Noah Syndergaard","NYM","1.6","97.8","8.7","11762"
"2018","Rick Porcello","BOS","0.6","91.3","9.1","2717"
"2019","Mike Leake","- - -","-19.4","88.6","4.5","10130"
"2018","Luis Castillo","CIN","-9.6","95.8","7.6","15689"
"2016","Tom Koehler","MIA","-24.3","91.8","9.9","6570"
"2020","Kyle Freeland","COL","-3.8","92.1","8.1","16256"
"2017","Jon Lester","CHC","-9.9","91.4","9.6","4930"
"2019","Robbie Ray","ARI","7.8","92.4","10.6","11486"
"2015","Andrew Cashner","SDP","-7.6","94.8","9.0","8782"
"2016","Collin McHugh","HOU","-9.5","90.1","9.4","7531"
"2018","Tanner Roark","WSN","-2.5","91.5","9.6","8753"
"2019","Tanner Roark","- - -","-0.9","92.1","9.9","8753"
"2018","Mike Leake","SEA","-5.1","89.1","4.8","10130"
"2021","Hyun-Jin Ryu","TOR","0.1","90.0","7.6","14444"
"2016","Marcus Stroman","TOR","-1.7","92.6","6.8","13431"
"2018","Jakob Junis","KCR","-10.8","91.3","7.5","13619"
"2018","Matthew Boyd","DET","-3.1","90.5","9.0","15440"
"2017","German Marquez","COL","-9.0","95.0","9.3","15038"
"2016","Martin Perez","TEX","-0.3","93.0","9.3","6902"
